"slug","title","duration_seconds","required_frame_count","missing_frame_count","existing_premium_frame_urls","existing_generated_frame_urls","video_url"
"alongamento-leve","Alongamento leve","75","8","0","","/videos/frames/alongamento-leve/alongamento-leve-01.jpg|/videos/frames/alongamento-leve/alongamento-leve-02.jpg|/videos/frames/alongamento-leve/alongamento-leve-03.jpg|/videos/frames/alongamento-leve/alongamento-leve-04.jpg|/videos/frames/alongamento-leve/alongamento-leve-05.jpg|/videos/frames/alongamento-leve/alongamento-leve-06.jpg|/videos/frames/alongamento-leve/alongamento-leve-07.jpg|/videos/frames/alongamento-leve/alongamento-leve-08.jpg","/videos/alongamento-leve.mp4"
"caminhada-consciente","Caminhada consciente","210","12","0","","/videos/frames/caminhada-consciente/caminhada-consciente-01.jpg|/videos/frames/caminhada-consciente/caminhada-consciente-02.jpg|/videos/frames/caminhada-consciente/caminhada-consciente-03.jpg|/videos/frames/caminhada-consciente/caminhada-consciente-04.jpg|/videos/frames/caminhada-consciente/caminhada-consciente-05.jpg|/videos/frames/caminhada-consciente/caminhada-consciente-06.jpg|/videos/frames/caminhada-consciente/caminhada-consciente-07.jpg|/videos/frames/caminhada-consciente/caminhada-consciente-08.jpg|/videos/frames/caminhada-consciente/caminhada-consciente-09.jpg|/videos/frames/caminhada-consciente/caminhada-consciente-10.jpg|/videos/frames/caminhada-consciente/caminhada-consciente-11.jpg|/videos/frames/caminhada-consciente/caminhada-consciente-12.jpg","/videos/caminhada-consciente.mp4"
"mobilidade-de-coluna","Mobilidade de coluna","150","8","0","","/videos/frames/mobilidade-de-coluna/mobilidade-de-coluna-01.jpg|/videos/frames/mobilidade-de-coluna/mobilidade-de-coluna-02.jpg|/videos/frames/mobilidade-de-coluna/mobilidade-de-coluna-03.jpg|/videos/frames/mobilidade-de-coluna/mobilidade-de-coluna-04.jpg|/videos/frames/mobilidade-de-coluna/mobilidade-de-coluna-05.jpg|/videos/frames/mobilidade-de-coluna/mobilidade-de-coluna-06.jpg|/videos/frames/mobilidade-de-coluna/mobilidade-de-coluna-07.jpg|/videos/frames/mobilidade-de-coluna/mobilidade-de-coluna-08.jpg","/videos/mobilidade-de-coluna.mp4"
"pausa-sem-tela","Pausa sem tela","90","8","0","","/videos/frames/pausa-sem-tela/pausa-sem-tela-01.jpg|/videos/frames/pausa-sem-tela/pausa-sem-tela-02.jpg|/videos/frames/pausa-sem-tela/pausa-sem-tela-03.jpg|/videos/frames/pausa-sem-tela/pausa-sem-tela-04.jpg|/videos/frames/pausa-sem-tela/pausa-sem-tela-05.jpg|/videos/frames/pausa-sem-tela/pausa-sem-tela-06.jpg|/videos/frames/pausa-sem-tela/pausa-sem-tela-07.jpg|/videos/frames/pausa-sem-tela/pausa-sem-tela-08.jpg","/videos/pausa-sem-tela.mp4"
"reset-postural","Reset postural","150","8","0","","/videos/frames/reset-postural/reset-postural-01.jpg|/videos/frames/reset-postural/reset-postural-02.jpg|/videos/frames/reset-postural/reset-postural-03.jpg|/videos/frames/reset-postural/reset-postural-04.jpg|/videos/frames/reset-postural/reset-postural-05.jpg|/videos/frames/reset-postural/reset-postural-06.jpg|/videos/frames/reset-postural/reset-postural-07.jpg|/videos/frames/reset-postural/reset-postural-08.jpg","/videos/reset-postural.mp4"
"yoga-bolso-coluna-leve","Yoga de bolso: coluna leve","240","12","0","","/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-01.jpg|/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-02.jpg|/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-03.jpg|/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-04.jpg|/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-05.jpg|/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-06.jpg|/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-07.jpg|/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-08.jpg|/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-09.jpg|/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-10.jpg|/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-11.jpg|/videos/frames/yoga-bolso-coluna-leve/yoga-bolso-coluna-leve-12.jpg","/videos/yoga-bolso-coluna-leve.mp4"
"missao-alongamento-leve","Alongamento leve","180","8","0","","/videos/frames/missao-alongamento-leve/missao-alongamento-leve-01.jpg|/videos/frames/missao-alongamento-leve/missao-alongamento-leve-02.jpg|/videos/frames/missao-alongamento-leve/missao-alongamento-leve-03.jpg|/videos/frames/missao-alongamento-leve/missao-alongamento-leve-04.jpg|/videos/frames/missao-alongamento-leve/missao-alongamento-leve-05.jpg|/videos/frames/missao-alongamento-leve/missao-alongamento-leve-06.jpg|/videos/frames/missao-alongamento-leve/missao-alongamento-leve-07.jpg|/videos/frames/missao-alongamento-leve/missao-alongamento-leve-08.jpg","/videos/missao-alongamento-leve.mp4"
"missao-caminhada-consciente","Caminhada consciente","180","8","0","","/videos/frames/missao-caminhada-consciente/missao-caminhada-consciente-01.jpg|/videos/frames/missao-caminhada-consciente/missao-caminhada-consciente-02.jpg|/videos/frames/missao-caminhada-consciente/missao-caminhada-consciente-03.jpg|/videos/frames/missao-caminhada-consciente/missao-caminhada-consciente-04.jpg|/videos/frames/missao-caminhada-consciente/missao-caminhada-consciente-05.jpg|/videos/frames/missao-caminhada-consciente/missao-caminhada-consciente-06.jpg|/videos/frames/missao-caminhada-consciente/missao-caminhada-consciente-07.jpg|/videos/frames/missao-caminhada-consciente/missao-caminhada-consciente-08.jpg","/videos/missao-caminhada-consciente.mp4"
"missao-pausa-sem-tela","Pausa sem tela","90","6","0","","/videos/frames/missao-pausa-sem-tela/missao-pausa-sem-tela-01.jpg|/videos/frames/missao-pausa-sem-tela/missao-pausa-sem-tela-02.jpg|/videos/frames/missao-pausa-sem-tela/missao-pausa-sem-tela-03.jpg|/videos/frames/missao-pausa-sem-tela/missao-pausa-sem-tela-04.jpg|/videos/frames/missao-pausa-sem-tela/missao-pausa-sem-tela-05.jpg|/videos/frames/missao-pausa-sem-tela/missao-pausa-sem-tela-06.jpg","/videos/missao-pausa-sem-tela.mp4"
"missao-respiracao-4-4-6","Respiracao 4-4-6","240","8","0","","/videos/frames/missao-respiracao-4-4-6/missao-respiracao-4-4-6-01.jpg|/videos/frames/missao-respiracao-4-4-6/missao-respiracao-4-4-6-02.jpg|/videos/frames/missao-respiracao-4-4-6/missao-respiracao-4-4-6-03.jpg|/videos/frames/missao-respiracao-4-4-6/missao-respiracao-4-4-6-04.jpg|/videos/frames/missao-respiracao-4-4-6/missao-respiracao-4-4-6-05.jpg|/videos/frames/missao-respiracao-4-4-6/missao-respiracao-4-4-6-06.jpg|/videos/frames/missao-respiracao-4-4-6/missao-respiracao-4-4-6-07.jpg|/videos/frames/missao-respiracao-4-4-6/missao-respiracao-4-4-6-08.jpg","/videos/missao-respiracao-4-4-6.mp4"
